Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
RAFAL MAJKA,TINKOFF-SAXO,86h 21' 20'',+ 01h 35' 06'',2015,3354,21,310880,5706
JOAQUIN RODRIGUEZ OLIVER,TEAM KATUSHA,86h 22' 21'',+ 01h 36' 07'',2015,3354,21,310941,5767
RUBEN PLAZA MOLINA,LAMPRE - MERIDA,86h 24' 36'',+ 01h 38' 22'',2015,3354,21,311076,5902
TONY GALLOPIN,LOTTO-SOUDAL,86h 26' 58'',+ 01h 40' 44'',2015,3354,21,311218,6044
GORKA IZAGIRRE INSAUSTI,MOVISTAR TEAM,86h 27' 48'',+ 01h 41' 34'',2015,3354,21,311268,6094
ROMAIN SICARD,TEAM EUROPCAR,86h 37' 46'',+ 01h 51' 32'',2015,3354,21,311866,6692
CYRIL GAUTIER,TEAM EUROPCAR,86h 38' 05'',+ 01h 51' 51'',2015,3354,21,311885,6711
NICOLAS ROCHE,TEAM SKY,86h 40' 22'',+ 01h 54' 08'',2015,3354,21,312022,6848
MICHAEL ROGERS,TINKOFF-SAXO,86h 42' 27'',+ 01h 56' 13'',2015,3354,21,312147,6973
LARS BAK YTTING,LOTTO-SOUDAL,86h 43' 11'',+ 01h 56' 57'',2015,3354,21,312191,7017
SIMON GESCHKE,TEAM GIANT-ALPECIN,86h 44' 28'',+ 01h 58' 14'',2015,3354,21,312268,7094
DANIEL MARTIN,TEAM CANNONDALE-GARMIN,86h 49' 51'',+ 02h 03' 37'',2015,3354,21,312591,7417
RYDER HESJEDAL,TEAM CANNONDALE-GARMIN,86h 50' 51'',+ 02h 04' 37'',2015,3354,21,312651,7477
MICHELE SCARPONI,ASTANA PRO TEAM,86h 51' 17'',+ 02h 05' 03'',2015,3354,21,312677,7503
RIGOBERTO URAN,ETIXX-QUICK STEP,86h 54' 34'',+ 02h 08' 20'',2015,3354,21,312874,7700
LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",86h 56' 26'',+ 02h 10' 12'',2015,3354,21,312986,7812
WOUT POELS,TEAM SKY,86h 58' 58'',+ 02h 12' 44'',2015,3354,21,313138,7964
THOMAS VOECKLER,TEAM EUROPCAR,87h 00' 22'',+ 02h 14' 08'',2015,3354,21,313222,8048
PETER SAGAN,TINKOFF-SAXO,87h 01' 09'',+ 02h 14' 55'',2015,3354,21,313269,8095
NELSON OLIVEIRA,LAMPRE - MERIDA,87h 01' 46'',+ 02h 15' 32'',2015,3354,21,313306,8132
RICHIE PORTE,TEAM SKY,87h 02' 19'',+ 02h 16' 05'',2015,3354,21,313339,8165
DANIEL TEKLEHAIMANOT,MTN-QHUBEKA,87h 02' 29'',+ 02h 16' 15'',2015,3354,21,313349,8175
ADAM YATES,ORICA GREENEDGE,87h 02' 50'',+ 02h 16' 36'',2015,3354,21,313370,8196
JACQUES WILLEM JANSE VAN RENSBURG,MTN-QHUBEKA,87h 04' 30'',+ 02h 18' 16'',2015,3354,21,313470,8296
PIERRICK FEDRIGO,BRETAGNE - SECHE ENVIRONNEMENT,87h 09' 08'',+ 02h 22' 54'',2015,3354,21,313748,8574
DAMIANO CARUSO,BMC RACING TEAM,87h 12' 46'',+ 02h 26' 32'',2015,3354,21,313966,8792
SYLVAIN CHAVANEL,IAM CYCLING,87h 15' 42'',+ 02h 29' 28'',2015,3354,21,314142,8968
BRAM TANKINK,TEAM LOTTO NL - JUMBO,87h 16' 26'',+ 02h 30' 12'',2015,3354,21,314186,9012
MICHAEL SCHÄR,BMC RACING TEAM,87h 17' 27'',+ 02h 31' 13'',2015,3354,21,314247,9073
WINNER ANACONA,MOVISTAR TEAM,87h 17' 28'',+ 02h 31' 14'',2015,3354,21,314248,9074
ALBERTO LOSADA ALGUACIL,TEAM KATUSHA,87h 18' 44'',+ 02h 32' 30'',2015,3354,21,314324,9150
STEF CLEMENT,IAM CYCLING,87h 19' 56'',+ 02h 33' 42'',2015,3354,21,314396,9222
MARCEL WYSS,IAM CYCLING,87h 20' 52'',+ 02h 34' 38'',2015,3354,21,314452,9278
JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,87h 21' 24'',+ 02h 35' 10'',2015,3354,21,314484,9310
HAIMAR ZUBELDIA,TREK FACTORY RACING,87h 23' 04'',+ 02h 36' 50'',2015,3354,21,314584,9410
DANILO WYSS,BMC RACING TEAM,87h 23' 31'',+ 02h 37' 17'',2015,3354,21,314611,9437
ANDREY GRIVKO,ASTANA PRO TEAM,87h 24' 20'',+ 02h 38' 06'',2015,3354,21,314660,9486
JOSE HERRADA LOPEZ,MOVISTAR TEAM,87h 26' 20'',+ 02h 40' 06'',2015,3354,21,314780,9606
DANIEL NAVARRO GARCIA,"COFIDIS, SOLUTIONS CREDITS",87h 29' 48'',+ 02h 43' 34'',2015,3354,21,314988,9814
THOMAS DE GENDT,LOTTO-SOUDAL,87h 34' 16'',+ 02h 48' 02'',2015,3354,21,315256,10082
CHRISTOPHE RIBLON,AG2R LA MONDIALE,87h 34' 33'',+ 02h 48' 19'',2015,3354,21,315273,10099
KRISTIJAN KOREN,TEAM CANNONDALE-GARMIN,87h 37' 58'',+ 02h 51' 44'',2015,3354,21,315478,10304
LEOPOLD KONIG,TEAM SKY,87h 39' 23'',+ 02h 53' 09'',2015,3354,21,315563,10389
MATTHIEU LADAGNOUS,FDJ,87h 39' 36'',+ 02h 53' 22'',2015,3354,21,315576,10402
TIAGO MACHADO,TEAM KATUSHA,87h 40' 45'',+ 02h 54' 31'',2015,3354,21,315645,10471
KOEN DE KORT,TEAM GIANT-ALPECIN,87h 43' 19'',+ 02h 57' 05'',2015,3354,21,315799,10625
PERRIG QUEMENEUR,TEAM EUROPCAR,87h 43' 33'',+ 02h 57' 19'',2015,3354,21,315813,10639
RETO HOLLENSTEIN,IAM CYCLING,87h 44' 44'',+ 02h 58' 30'',2015,3354,21,315884,10710
KRISTIJAN ÐURASEK,LAMPRE - MERIDA,87h 48' 28'',+ 03h 02' 14'',2015,3354,21,316108,10934
LIEUWE WESTRA,ASTANA PRO TEAM,87h 49' 23'',+ 03h 03' 09'',2015,3354,21,316163,10989
RAFAEL VALLS,LAMPRE - MERIDA,87h 49' 25'',+ 03h 03' 11'',2015,3354,21,316165,10991
WILCO KELDERMAN,TEAM LOTTO NL - JUMBO,87h 50' 21'',+ 03h 04' 07'',2015,3354,21,316221,11047
PAUL MARTENS,TEAM LOTTO NL - JUMBO,87h 51' 06'',+ 03h 04' 52'',2015,3354,21,316266,11092
PIERRE LUC PERICHON,BRETAGNE - SECHE ENVIRONNEMENT,87h 52' 02'',+ 03h 05' 48'',2015,3354,21,316322,11148
EDVALD BOASSON-HAGEN,MTN-QHUBEKA,87h 54' 16'',+ 03h 08' 02'',2015,3354,21,316456,11282
EMANUEL BUCHMANN,BORA-ARGON 18,87h 55' 01'',+ 03h 08' 47'',2015,3354,21,316501,11327
MERHAWI KUDUS,MTN-QHUBEKA,87h 56' 50'',+ 03h 10' 36'',2015,3354,21,316610,11436
ANTHONY DELAPLACE,BRETAGNE - SECHE ENVIRONNEMENT,87h 57' 42'',+ 03h 11' 28'',2015,3354,21,316662,11488
STEPHEN CUMMINGS,MTN-QHUBEKA,87h 58' 37'',+ 03h 12' 23'',2015,3354,21,316717,11543
GEORG PREIDLER,TEAM GIANT-ALPECIN,88h 00' 28'',+ 03h 14' 14'',2015,3354,21,316828,11654
FLORIAN VACHON,BRETAGNE - SECHE ENVIRONNEMENT,88h 01' 15'',+ 03h 15' 01'',2015,3354,21,316875,11701
SIMON YATES,ORICA GREENEDGE,88h 02' 18'',+ 03h 16' 04'',2015,3354,21,316938,11764
GIANPAOLO CARUSO,TEAM KATUSHA,88h 03' 17'',+ 03h 17' 03'',2015,3354,21,316997,11823
ANGELO TULIK,TEAM EUROPCAR,88h 04' 38'',+ 03h 18' 24'',2015,3354,21,317078,11904
LAURENS TEN DAM,TEAM LOTTO NL - JUMBO,88h 04' 57'',+ 03h 18' 43'',2015,3354,21,317097,11923
MARKEL IRIZAR ARRANBURU,TREK FACTORY RACING,88h 05' 58'',+ 03h 19' 44'',2015,3354,21,317158,11984
JULIEN SIMON,"COFIDIS, SOLUTIONS CREDITS",88h 06' 07'',+ 03h 19' 53'',2015,3354,21,317167,11993
MICHAL GOLAS,ETIXX-QUICK STEP,88h 07' 31'',+ 03h 21' 17'',2015,3354,21,317251,12077
REINARDT JANSE VAN RENSBURG,MTN-QHUBEKA,88h 07' 44'',+ 03h 21' 30'',2015,3354,21,317264,12090
DANIEL OSS,BMC RACING TEAM,88h 08' 28'',+ 03h 22' 14'',2015,3354,21,317308,12134
BRICE FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,88h 09' 25'',+ 03h 23' 11'',2015,3354,21,317365,12191
PAUL VOSS,BORA-ARGON 18,88h 11' 07'',+ 03h 24' 53'',2015,3354,21,317467,12293
MARTIN ELMIGER,IAM CYCLING,88h 13' 01'',+ 03h 26' 47'',2015,3354,21,317581,12407
ROHAN DENNIS,BMC RACING TEAM,88h 13' 48'',+ 03h 27' 34'',2015,3354,21,317628,12454
GREGORY RAST,TREK FACTORY RACING,88h 15' 14'',+ 03h 29' 00'',2015,3354,21,317714,12540
ZDENEK STYBAR,ETIXX-QUICK STEP,88h 16' 27'',+ 03h 30' 13'',2015,3354,21,317787,12613
SEP VANMARCKE,TEAM LOTTO NL - JUMBO,88h 17' 29'',+ 03h 31' 15'',2015,3354,21,317849,12675
JÉRÉMY ROY,FDJ,88h 18' 26'',+ 03h 32' 12'',2015,3354,21,317906,12732
ROY CURVERS,TEAM GIANT-ALPECIN,88h 21' 54'',+ 03h 35' 40'',2015,3354,21,318114,12940
ADRIANO MALORI,MOVISTAR TEAM,88h 23' 42'',+ 03h 37' 28'',2015,3354,21,318222,13048
BARTOSZ HUZARSKI,BORA-ARGON 18,88h 24' 20'',+ 03h 38' 06'',2015,3354,21,318260,13086
JOHN DEGENKOLB,TEAM GIANT-ALPECIN,88h 25' 57'',+ 03h 39' 43'',2015,3354,21,318357,13183
BRYAN COQUARD,TEAM EUROPCAR,88h 28' 50'',+ 03h 42' 36'',2015,3354,21,318530,13356
NICOLAS EDET,"COFIDIS, SOLUTIONS CREDITS",88h 28' 56'',+ 03h 42' 42'',2015,3354,21,318536,13362
ALEXANDRE GENIEZ,FDJ,88h 29' 11'',+ 03h 42' 57'',2015,3354,21,318551,13377
BENOÎT VAUGRENARD,FDJ,88h 29' 22'',+ 03h 43' 08'',2015,3354,21,318562,13388
ADAM JAMES HANSEN,LOTTO-SOUDAL,88h 31' 32'',+ 03h 45' 18'',2015,3354,21,318692,13518
IMANOL ERVITI,MOVISTAR TEAM,88h 33' 28'',+ 03h 47' 14'',2015,3354,21,318808,13634
JULIEN VERMOTE,ETIXX-QUICK STEP,88h 36' 46'',+ 03h 50' 32'',2015,3354,21,319006,13832
MATTEO TRENTIN,ETIXX-QUICK STEP,88h 37' 13'',+ 03h 50' 59'',2015,3354,21,319033,13859
MATTEO BONO,LAMPRE - MERIDA,88h 38' 31'',+ 03h 52' 17'',2015,3354,21,319111,13937
ARMINDO FONSECA,BRETAGNE - SECHE ENVIRONNEMENT,88h 39' 27'',+ 03h 53' 13'',2015,3354,21,319167,13993
MANUEL QUINZIATO,BMC RACING TEAM,88h 39' 35'',+ 03h 53' 21'',2015,3354,21,319175,14001
JOS VAN EMDEN,TEAM LOTTO NL - JUMBO,88h 40' 33'',+ 03h 54' 19'',2015,3354,21,319233,14059
JOSÉ SERPA,LAMPRE - MERIDA,88h 40' 39'',+ 03h 54' 25'',2015,3354,21,319239,14065
GEOFFREY SOUPE,"COFIDIS, SOLUTIONS CREDITS",88h 41' 49'',+ 03h 55' 35'',2015,3354,21,319309,14135
JULIAN ARREDONDO MORENO,TREK FACTORY RACING,88h 43' 03'',+ 03h 56' 49'',2015,3354,21,319383,14209
FILIPPO POZZATO,LAMPRE - MERIDA,88h 44' 34'',+ 03h 58' 20'',2015,3354,21,319474,14300
MARCO HALLER,TEAM KATUSHA,88h 45' 18'',+ 03h 59' 04'',2015,3354,21,319518,14344
CHRISTOPHE LAPORTE,"COFIDIS, SOLUTIONS CREDITS",88h 45' 24'',+ 03h 59' 10'',2015,3354,21,319524,14350
IAN STANNARD,TEAM SKY,88h 45' 51'',+ 03h 59' 37'',2015,3354,21,319551,14377
TIM WELLENS,LOTTO-SOUDAL,88h 45' 53'',+ 03h 59' 39'',2015,3354,21,319553,14379
ALEXANDER KRISTOFF,TEAM KATUSHA,88h 47' 20'',+ 04h 01' 06'',2015,3354,21,319640,14466
DMITRIY GRUZDEV,ASTANA PRO TEAM,88h 47' 26'',+ 04h 01' 12'',2015,3354,21,319646,14472
MATTEO TOSATTO,TINKOFF-SAXO,88h 47' 29'',+ 04h 01' 15'',2015,3354,21,319649,14475
ARNAUD GERARD,BRETAGNE - SECHE ENVIRONNEMENT,88h 48' 20'',+ 04h 02' 06'',2015,3354,21,319700,14526
ANDRÉ GREIPEL,LOTTO-SOUDAL,88h 49' 42'',+ 04h 03' 28'',2015,3354,21,319782,14608
FLORIAN SENECHAL,"COFIDIS, SOLUTIONS CREDITS",88h 50' 20'',+ 04h 04' 06'',2015,3354,21,319820,14646
LUKE ROWE,TEAM SKY,88h 50' 59'',+ 04h 04' 45'',2015,3354,21,319859,14685
YOHANN GENE,TEAM EUROPCAR,88h 51' 10'',+ 04h 04' 56'',2015,3354,21,319870,14696
ARNAUD DEMARE,FDJ,88h 51' 42'',+ 04h 05' 28'',2015,3354,21,319902,14728
ALBERT TIMMER,TEAM GIANT-ALPECIN,88h 51' 44'',+ 04h 05' 30'',2015,3354,21,319904,14730
JOSÉ JOAO PIMANTA COSTA MENDES,BORA-ARGON 18,88h 54' 01'',+ 04h 07' 47'',2015,3354,21,320041,14867
FRÉDERIC BRUN,BRETAGNE - SECHE ENVIRONNEMENT,88h 56' 46'',+ 04h 10' 32'',2015,3354,21,320206,15032
MARK CAVENDISH,ETIXX-QUICK STEP,88h 58' 19'',+ 04h 12' 05'',2015,3354,21,320299,15125
RAMUNAS NAVARDAUSKAS,TEAM CANNONDALE-GARMIN,89h 00' 54'',+ 04h 14' 40'',2015,3354,21,320454,15280
PIETER WEENING,ORICA GREENEDGE,89h 01' 34'',+ 04h 15' 20'',2015,3354,21,320494,15320
JENS DEBUSSCHERE,LOTTO-SOUDAL,89h 02' 20'',+ 04h 16' 06'',2015,3354,21,320540,15366
DAMIEN GAUDIN,AG2R LA MONDIALE,89h 02' 27'',+ 04h 16' 13'',2015,3354,21,320547,15373
DYLAN VAN BAARLE,TEAM CANNONDALE-GARMIN,89h 04' 54'',+ 04h 18' 40'',2015,3354,21,320694,15520
STIJN DEVOLDER,TREK FACTORY RACING,89h 07' 45'',+ 04h 21' 31'',2015,3354,21,320865,15691
JACOPO GUARNIERI,TEAM KATUSHA,89h 08' 34'',+ 04h 22' 20'',2015,3354,21,320914,15740
MARCEL SIEBERG,LOTTO-SOUDAL,89h 11' 06'',+ 04h 24' 52'',2015,3354,21,321066,15892
LUKE DURBRIDGE,ORICA GREENEDGE,89h 11' 17'',+ 04h 25' 03'',2015,3354,21,321077,15903
MICHAEL MATTHEWS,ORICA GREENEDGE,89h 12' 47'',+ 04h 26' 33'',2015,3354,21,321167,15993
THOMAS LEEZER,TEAM LOTTO NL - JUMBO,89h 13' 01'',+ 04h 26' 47'',2015,3354,21,321181,16007
TYLER FARRAR,MTN-QHUBEKA,89h 18' 46'',+ 04h 32' 32'',2015,3354,21,321526,16352
DAVIDE CIMOLAI,LAMPRE - MERIDA,89h 19' 35'',+ 04h 33' 21'',2015,3354,21,321575,16401
MATTHIAS BRÄNDLE,IAM CYCLING,89h 23' 50'',+ 04h 37' 36'',2015,3354,21,321830,16656
BRYAN NAULLEAU,TEAM EUROPCAR,89h 26' 26'',+ 04h 40' 12'',2015,3354,21,321986,16812
KENNETH VANBILSEN,"COFIDIS, SOLUTIONS CREDITS",89h 27' 41'',+ 04h 41' 27'',2015,3354,21,322061,16887
SVEIN TUFT,ORICA GREENEDGE,89h 34' 22'',+ 04h 48' 08'',2015,3354,21,322462,17288
SÉBASTIEN CHAVANEL,FDJ,89h 43' 13'',+ 04h 56' 59'',2015,3354,21,322993,17819
CHRIS FROOME,TEAM SKY,89h 04' 48'',-,2016,3525,21,320688,0
ROMAIN BARDET,AG2R LA MONDIALE,89h 08' 53'',+ 00h 04' 05'',2016,3525,21,320933,245
NAIRO QUINTANA,MOVISTAR TEAM,89h 09' 09'',+ 00h 04' 21'',2016,3525,21,320949,261
ADAM YATES,ORICA-BIKEEXCHANGE,89h 09' 30'',+ 00h 04' 42'',2016,3525,21,320970,282
RICHIE PORTE,BMC RACING TEAM,89h 10' 05'',+ 00h 05' 17'',2016,3525,21,321005,317
ALEJANDRO VALVERDE,MOVISTAR TEAM,89h 11' 04'',+ 00h 06' 16'',2016,3525,21,321064,376
JOAQUIN RODRIGUEZ OLIVER,TEAM KATUSHA,89h 11' 46'',+ 00h 06' 58'',2016,3525,21,321106,418
LOUIS MEINTJES,LAMPRE - MERIDA,89h 11' 46'',+ 00h 06' 58'',2016,3525,21,321106,418
DANIEL MARTIN,ETIXX-QUICK STEP,89h 11' 52'',+ 00h 07' 04'',2016,3525,21,321112,424
ROMAN KREUZIGER,TINKOFF,89h 11' 59'',+ 00h 07' 11'',2016,3525,21,321119,431
BAUKE MOLLEMA,TREK - SEGAFREDO,89h 18' 01'',+ 00h 13' 13'',2016,3525,21,321481,793
SERGIO LUIS HENAO MONTOYA,TEAM SKY,89h 23' 39'',+ 00h 18' 51'',2016,3525,21,321819,1131
FABIO ARU,ASTANA PRO TEAM,89h 24' 08'',+ 00h 19' 20'',2016,3525,21,321848,1160
SÉBASTIEN REICHENBACH,FDJ,89h 29' 47'',+ 00h 24' 59'',2016,3525,21,322187,1499
GERAINT THOMAS,TEAM SKY,89h 33' 19'',+ 00h 28' 31'',2016,3525,21,322399,1711
PIERRE ROLLAND,CANNONDALE DRAPAC TEAM,89h 35' 30'',+ 00h 30' 42'',2016,3525,21,322530,1842
MIKEL NIEVE ITURRALDE,TEAM SKY,89h 43' 18'',+ 00h 38' 30'',2016,3525,21,322998,2310
STEF CLEMENT,IAM CYCLING,89h 43' 45'',+ 00h 38' 57'',2016,3525,21,323025,2337
JARLINSON PANTANO GOMEZ,IAM CYCLING,89h 43' 47'',+ 00h 38' 59'',2016,3525,21,323027,2339
ALEXIS VUILLERMOZ,AG2R LA MONDIALE,89h 47' 16'',+ 00h 42' 28'',2016,3525,21,323236,2548
EMANUEL BUCHMANN,BORA-ARGON 18,89h 52' 28'',+ 00h 47' 40'',2016,3525,21,323548,2860
DAMIANO CARUSO,BMC RACING TEAM,89h 53' 11'',+ 00h 48' 23'',2016,3525,21,323591,2903
WARREN BARGUIL,TEAM GIANT-ALPECIN,89h 57' 02'',+ 00h 52' 14'',2016,3525,21,323822,3134
HAIMAR ZUBELDIA,TREK - SEGAFREDO,89h 57' 54'',+ 00h 53' 06'',2016,3525,21,323874,3186
ILNUR ZAKARIN,TEAM KATUSHA,90h 01' 21'',+ 00h 56' 33'',2016,3525,21,324081,3393
TANEL KANGERT,ASTANA PRO TEAM,90h 08' 47'',+ 01h 03' 59'',2016,3525,21,324527,3839
RAFAL MAJKA,TINKOFF,90h 09' 13'',+ 01h 04' 25'',2016,3525,21,324553,3865
WOUT POELS,TEAM SKY,90h 11' 45'',+ 01h 06' 57'',2016,3525,21,324705,4017
TEJAY VAN GARDEREN,BMC RACING TEAM,90h 16' 54'',+ 01h 12' 06'',2016,3525,21,325014,4326
VINCENZO NIBALI,ASTANA PRO TEAM,90h 24' 47'',+ 01h 19' 59'',2016,3525,21,325487,4799
DANIEL MORENO FERNANDEZ,MOVISTAR TEAM,90h 25' 48'',+ 01h 21' 00'',2016,3525,21,325548,4860
WILCO KELDERMAN,TEAM LOTTO NL - JUMBO,90h 29' 26'',+ 01h 24' 38'',2016,3525,21,325766,5078
DOMENICO POZZOVIVO,AG2R LA MONDIALE,90h 30' 02'',+ 01h 25' 14'',2016,3525,21,325802,5114
FRANK SCHLECK,TREK - SEGAFREDO,90h 32' 27'',+ 01h 27' 39'',2016,3525,21,325947,5259
MIKEL LANDA MEANA,TEAM SKY,90h 37' 07'',+ 01h 32' 19'',2016,3525,21,326227,5539
STEVE MORABITO,FDJ,90h 43' 18'',+ 01h 38' 30'',2016,3525,21,326598,5910
DIEGO ROSA,ASTANA PRO TEAM,90h 51' 24'',+ 01h 46' 36'',2016,3525,21,327084,6396
DARYL IMPEY,ORICA-BIKEEXCHANGE,90h 55' 39'',+ 01h 50' 51'',2016,3525,21,327339,6651
BARTOSZ HUZARSKI,BORA-ARGON 18,91h 00' 16'',+ 01h 55' 28'',2016,3525,21,327616,6928
THOMAS DE GENDT,LOTTO SOUDAL,91h 03' 33'',+ 01h 58' 45'',2016,3525,21,327813,7125
JULIAN ALAPHILIPPE,ETIXX-QUICK STEP,91h 04' 57'',+ 02h 00' 09'',2016,3525,21,327897,7209
SERGE PAUWELS,TEAM DIMENSION DATA,91h 05' 26'',+ 02h 00' 38'',2016,3525,21,327926,7238
SYLVAIN CHAVANEL,DIRECT ENERGIE,91h 07' 41'',+ 02h 02' 53'',2016,3525,21,328061,7373
GREG VAN AVERMAET,BMC RACING TEAM,91h 11' 01'',+ 02h 06' 13'',2016,3525,21,328261,7573
AMAEL MOINARD,BMC RACING TEAM,91h 11' 24'',+ 02h 06' 36'',2016,3525,21,328284,7596
PETER STETINA,TREK - SEGAFREDO,91h 12' 10'',+ 02h 07' 22'',2016,3525,21,328330,7642
ION IZAGIRRE INSAUSTI,MOVISTAR TEAM,91h 14' 37'',+ 02h 09' 49'',2016,3525,21,328477,7789
LUIS LEON SANCHEZ,ASTANA PRO TEAM,91h 15' 13'',+ 02h 10' 25'',2016,3525,21,328513,7825
RUI COSTA,LAMPRE - MERIDA,91h 16' 30'',+ 02h 11' 42'',2016,3525,21,328590,7902
JAN BAKELANTS,AG2R LA MONDIALE,91h 18' 35'',+ 02h 13' 47'',2016,3525,21,328715,8027
KRISTIJAN ÐURASEK,LAMPRE - MERIDA,91h 20' 04'',+ 02h 15' 16'',2016,3525,21,328804,8116
JAKOB FUGLSANG,ASTANA PRO TEAM,91h 22' 04'',+ 02h 17' 16'',2016,3525,21,328924,8236
GEORGE BENNETT,TEAM LOTTO NL - JUMBO,91h 22' 53'',+ 02h 18' 05'',2016,3525,21,328973,8285
JAN POLANC,LAMPRE - MERIDA,91h 23' 12'',+ 02h 18' 24'',2016,3525,21,328992,8304
LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",91h 26' 05'',+ 02h 21' 17'',2016,3525,21,329165,8477
GEORG PREIDLER,TEAM GIANT-ALPECIN,91h 30' 33'',+ 02h 25' 45'',2016,3525,21,329433,8745
MIKAEL CHEREL,AG2R LA MONDIALE,91h 32' 33'',+ 02h 27' 45'',2016,3525,21,329553,8865
ROBERT KIŠERLOVSKI,TINKOFF,91h 32' 54'',+ 02h 28' 06'',2016,3525,21,329574,8886
EDUARDO SEPULVEDA,FORTUNEO - VITAL CONCEPT,91h 33' 15'',+ 02h 28' 27'',2016,3525,21,329595,8907
FABRICE JEANDESBOZ,DIRECT ENERGIE,91h 44' 05'',+ 02h 39' 17'',2016,3525,21,330245,9557
BEN GASTAUER,AG2R LA MONDIALE,91h 45' 53'',+ 02h 41' 05'',2016,3525,21,330353,9665
ALEXEY LUTSENKO,ASTANA PRO TEAM,91h 46' 40'',+ 02h 41' 52'',2016,3525,21,330400,9712
ANTHONY ROUX,FDJ,91h 48' 39'',+ 02h 43' 51'',2016,3525,21,330519,9831
MARTIN ELMIGER,IAM CYCLING,91h 48' 49'',+ 02h 44' 01'',2016,3525,21,330529,9841
PATRICK KONRAD,BORA-ARGON 18,91h 51' 20'',+ 02h 46' 32'',2016,3525,21,330680,9992
SIMON GESCHKE,TEAM GIANT-ALPECIN,91h 52' 20'',+ 02h 47' 32'',2016,3525,21,330740,10052
ALBERTO LOSADA ALGUACIL,TEAM KATUSHA,91h 52' 50'',+ 02h 48' 02'',2016,3525,21,330770,10082
CYRIL GAUTIER,AG2R LA MONDIALE,91h 54' 37'',+ 02h 49' 49'',2016,3525,21,330877,10189
WINNER ANACONA,MOVISTAR TEAM,91h 55' 11'',+ 02h 50' 23'',2016,3525,21,330911,10223
BRICE FEILLU,FORTUNEO - VITAL CONCEPT,91h 55' 37'',+ 02h 50' 49'',2016,3525,21,330937,10249
TONY GALLOPIN,LOTTO SOUDAL,91h 56' 11'',+ 02h 51' 23'',2016,3525,21,330971,10283
RUBEN PLAZA MOLINA,ORICA-BIKEEXCHANGE,91h 57' 58'',+ 02h 53' 10'',2016,3525,21,331078,10390
LAURENS TEN DAM,TEAM GIANT-ALPECIN,91h 58' 10'',+ 02h 53' 22'',2016,3525,21,331090,10402
PAOLO TIRALONGO,ASTANA PRO TEAM,92h 03' 00'',+ 02h 58' 12'',2016,3525,21,331380,10692
JÉRÔME COPPEL,IAM CYCLING,92h 03' 36'',+ 02h 58' 48'',2016,3525,21,331416,10728
MICHAEL SCHÄR,BMC RACING TEAM,92h 05' 42'',+ 03h 00' 54'',2016,3525,21,331542,10854
MICHAEL VALGREN,TINKOFF,92h 06' 10'',+ 03h 01' 22'',2016,3525,21,331570,10882
ARTHUR VICHOT,FDJ,92h 06' 58'',+ 03h 02' 10'',2016,3525,21,331618,10930
THOMAS VOECKLER,DIRECT ENERGIE,92h 07' 23'',+ 03h 02' 35'',2016,3525,21,331643,10955
NELSON OLIVEIRA,MOVISTAR TEAM,92h 09' 41'',+ 03h 04' 53'',2016,3525,21,331781,11093
ROMAIN SICARD,DIRECT ENERGIE,92h 13' 59'',+ 03h 09' 11'',2016,3525,21,332039,11351
TOM-JELTE SLAGTER,CANNONDALE DRAPAC TEAM,92h 14' 07'',+ 03h 09' 19'',2016,3525,21,332047,11359
OLIVER NAESEN,IAM CYCLING,92h 16' 16'',+ 03h 11' 28'',2016,3525,21,332176,11488
CHRIS ANKER SORENSEN,FORTUNEO - VITAL CONCEPT,92h 17' 40'',+ 03h 12' 52'',2016,3525,21,332260,11572
DANIEL TEKLEHAIMANOT,TEAM DIMENSION DATA,92h 18' 55'',+ 03h 14' 07'',2016,3525,21,332335,11647
ANDREY GRIVKO,ASTANA PRO TEAM,92h 19' 19'',+ 03h 14' 31'',2016,3525,21,332359,11671
ARNOLD JEANNESSON,"COFIDIS, SOLUTIONS CREDITS",92h 23' 02'',+ 03h 18' 14'',2016,3525,21,332582,11894
JAN BARTA,BORA-ARGON 18,92h 24' 32'',+ 03h 19' 44'',2016,3525,21,332672,11984
MARCUS BURGHARDT,BMC RACING TEAM,92h 25' 10'',+ 03h 20' 22'',2016,3525,21,332710,12022
ANTHONY DELAPLACE,FORTUNEO - VITAL CONCEPT,92h 25' 57'',+ 03h 21' 09'',2016,3525,21,332757,12069
DYLAN VAN BAARLE,CANNONDALE DRAPAC TEAM,92h 28' 03'',+ 03h 23' 15'',2016,3525,21,332883,12195
TSGABU GEBREMARYAM GRMAY,LAMPRE - MERIDA,92h 28' 05'',+ 03h 23' 17'',2016,3525,21,332885,12197
PIERRE LUC PERICHON,FORTUNEO - VITAL CONCEPT,92h 29' 24'',+ 03h 24' 36'',2016,3525,21,332964,12276
BERT JAN LINDEMAN,TEAM LOTTO NL - JUMBO,92h 31' 07'',+ 03h 26' 19'',2016,3525,21,333067,12379
PETER SAGAN,TINKOFF,92h 31' 57'',+ 03h 27' 09'',2016,3525,21,333117,12429
JÉRÉMY ROY,FDJ,92h 32' 03'',+ 03h 27' 15'',2016,3525,21,333123,12435
